t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,,,,
#,PropertyTax,Property Tax,tax,"-MiddleIncome, -HighIncome, -MiddleClass, -Wealthy, -Retired, Socialist, -Capitalist, -Rural;  Property tax is a tax levied on the value of homes. The valuation is often made by a government body, and the money is used to fund local government services (at least in part) such as the provision of street lighting and emergency services. Some see it as a fair tax which mostly affects those who own large homes and are wealthy, others see it as an unfair tax on retired people with large homes but little actual income.",,25,5,2,2,TAX,0,0,,1,1150,12650,"GDP,0.75+(0.25*x)",#Effects,"_MiddleIncome,-0.02-(0.18*x)","_HighIncome,0-(0.05*x)","MiddleIncome,-0.05-(0.25*x)","Wealthy,0-(x^11)","Retired,0-(0.28*x)","Socialist,0+(0.15*x)","Capitalist,0-(0.15*x)","Farmers,0-(0.05*x)",,,,,,
#,SuperstoreTax,Superstore Tax,tax,"-Capitalist, -GDP, SelfEmployed, SelfEmployed_freq, -CarUsage, Environmentalist, Socialist;  Superstores may be convenient for out citizens, but they have many negative effects, they encourage car journeys, rather than supporting local shops, and their dominance is encouraging a society dominated by big business, with no room for the small family owned store. They should be taxed to reflect the harm they do to the fabric of our society.",,25,5,2,2,TAX,0,0,,1,400,5000,"GDP,0.5+(0.5*x);",#Effects,"Capitalist,-0.04-(x*0.09)","GDP,-0.01-(x*0.01),4","SelfEmployed,0.06+(x*0.12)","SelfEmployed_freq,0.04+(x*0.08),8","CarUsage,-0.03-(x*0.03),8","Environmentalist,0-(0*x)","Socialist,0.03+(0.06*x)",,,,,,,
#,AirlineTax,Airline Tax,tax,"-Capitalist, Environmentalist, -GDP, -AirTravel, -MiddleIncome;  Airline fuel has generally not been subject to taxation. Supporters of air fuel taxes insist that this results in an unfair subsidy on an environmentally destructive form of transport. The airlines point out that taxing airline fuel will just encourage them to refuel elsewhere thereby diverting funds from our economy.",,30,5,2,2,TAX,0,0,,1,115,7015,"AirTravel,0+(1.0*x)",#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.05+(0.05*x)","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)",,,,,,,,,
#,CorporationTax,Corporation Tax,corptax,"Socialist, -Capitalist, -Wealthy, -SelfEmployed, -GDP, -HighIncome, -SelfEmployed_income;  A direct and proportionate tax on the profits of business. Some argue that this should be the only form of taxation, others that such taxes stifle entrepreneurship and discourage people from starting a business. It is often one of the main ways the government brings in money.",MULTIPLYINCOME,30,10,2,2,TAX,0,0,,1,575,30638.3,"GDP,0.25+(0.75*x);TaxEvasion,1.0-(0.75*x)",#Effects,"Socialist,0+(0.22*x)","Capitalist,-0.05-(0.25*x)","Wealthy,0-(0.2*x)","SelfEmployed,0-(0.12*x)","GDP,-0.27*(x^5),6","_HighIncome,0-(0.07*x)","SelfEmployed_income,0-(0.1*x)",,,,,,,
#,PetrolTax,Petrol Tax,tax,"-CarUsage, -Motorist, Environmentalist, -GDP, -Motorist_income, -Motorist_freq;  Taxing fuel can be a huge source of income for a government, and can also be seen as a 'green' policy by encouraging people to drive less, or to use more fuel efficient cars. Critics suggest that this is just another cynical tax on the motorist, and some complain that the alternative (public transport) is not a viable option for everyone.",,30,10,2,2,TAX,0,0,,1,1150,21045,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,0.00-(0.40*x),4","Motorist,0.00-(x^5)","Environmentalist,0.20*(CarUsage*x)","GDP,-0.13*(x^7),2","Motorist_income,0-(0.15*x)","Motorist_freq,0-(0.16*x)",,,,,,,,
#,Publictaxreturns,Public Tax Returns,taxreturns,"-TaxEvasion, Equality,0.03*(x^0.5),8, -BlackMarket, -Wealthy, -Liberal;  Unfortunately some wealthy people in our society try to avoid taxes with illegal tax evasion methods. By  making tax returns public, people can now check if someone is using loopholes or abusing the tax system. This full disclosure  will encourage support of the system, as well as reducing tax evasion and forcing everyone to be able to justify their income.",,30,5,2,2,TAX,0,0,,4,0,0,,#Effects,"TaxEvasion,-0.1-(0.1*x),4","Equality,0.05*(x^0.5),8","_All_,-0.05-(0.2*x)","Wealthy,-0.5*(x^2)","BlackMarket,-0.1-(0.10*x),2",,,,,,,,,
#,CarTax,Car Tax,default,"-CarUsage, -MiddleIncome, -Motorist, Environmentalist, -Motorist_freq, -Motorist_income, -Rural;  Taxing the ownership of all motor vehicles is one way to persuade people to use alternative forms of transport. It can be argued however, that such a  system increases the fixed costs of car ownership, encouraging people to use a car more once they have gone to the trouble of taxing it. There is also an argument that this is a tax that unfairly hits the poor and people in rural communities where a car is a necessity.",MULTIPLYINCOME,35,5,2,2,TAX,0,0,,1,115,7436,"CarUsage,0+(1.0*x);TaxEvasion,1.0-(0.2*x)",#Effects,"CarUsage,-0.1-(0.1*x),6","_MiddleIncome,0-(0.05*x)","Motorist,-0.05-(0.15*x)","Environmentalist,0.2*(CarUsage*x)","Motorist_freq,-0.1-(0.2*x)","Motorist_income,0-(0.08*x)","Farmers,-0-(0.2*x)",,,,,,,
#,CarbonTax,Carbon Tax,tax,"CO2-Emissions, -OilDemand, -AirTravel, -GDP, Environmentalist, -Capitalist;  A carbon tax is a tax levied on all emissions of Carbon Dioxide, thought to be the main cause of climate change. The tax is effectively a pollution tax, and a way to make those individuals and industries who contribute to climate change pay for the damage they cause or to reduce emissions. Obviously the tax is popular with environmentalists, and can also lead to a more energy efficient economy.",,35,10,2,2,TAX,0,0,,1,1150,31510,"CO2Emissions,0.1+(0.9*x)",#Effects,"CO2Emissions,-0.1-(0.5*x),8","OilDemand,-0.05-(0.05*x)","AirTravel,-0.05-(0.2*x),2","GDP,-0.2*(x^2),4","Environmentalist,0.1+(0.1*x)","Capitalist,0-(0.5*x)",,,,,,,,
#,FlatTax,Flat Income Tax,incometax,"-LowIncome, -MiddleIncome, -HighIncome, -Poor, -MiddleClass, -Wealthy;  A flat-rate income tax is a tax where every citizen pays the same marginal rate of income tax regardless of their total income. As a result, the cleaner in the office pays the same rate as the CEO, though the CEO's total tax bill will be higher. This simpler structure can lead to lower avoidance and evasion. It is not progressive, and can exacerbate income inequality.",MULTIPLYINCOME,35,10,2,2,TAX,0,0,,1,1300,123464,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.05*x);CharityTaxBreaks,1.0-(0.05*x)",#Effects,"_LowIncome,-0.9*(Wages*x)","_MiddleIncome,-1*(Wages*x)","_HighIncome,-0.9*(1*x)","Poor,0-(0.9*x)","MiddleIncome,0-(0.7*x)","Wealthy,0-(0.6*x)",,,,,,,,
#,IncomeTax,Income Tax,incometax,"-LowIncome, -MiddleIncome, -HighIncome, -Poor, -MiddleClass, -Wealthy;  One of the most popular ways to raise money for government is a direct tax on peoples earnings, deducted at source by their employer. Income tax is generally a progressive tax (the wealthy pay more as a fraction of their income than the poor) and for this reason it is popular with socialists and the low paid.",MULTIPLYINCOME,40,10,2,2,TAX,0,0,,1,500,61732,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.4*x);CharityTaxBreaks,1.0-(0.05*x)",#Effects,"_LowIncome,-0.3*(Wages*x)","_MiddleIncome,-0.8*(Wages*x)","_HighIncome,-0.8*(1*x)","Poor,0-(0.2*x)","MiddleIncome,0-(0.6*x)","Wealthy,0-(0.9*x)",,,,,,,,
#,InheritanceTax,Inheritance Tax,inheritancetax,"Equality, -HighIncome, -Wealthy, -MiddleClass, -Retired, Socialist;  A tax paid on the wealth of an individual as it is passed on to their descendants. An inheritance tax protects equality, by preventing families amassing wealth and advantage over the generations, so it is popular with socialists and the poor. However, some people are strongly opposed to anything that prevents them handing on their hard-earned wealth, especially their house, to their children.",,40,10,2,2,TAX,0,0,,1,460,5000,"_HighIncome,0.05+(0.95*x);TaxEvasion,1.0-(0.75*x)",#Effects,"Equality,0.05+(0.35*x),24","_HighIncome,0-(0.12*x)","Wealthy,0-(0.25*x)","MiddleIncome,-0.2*(x^2)","Retired,-0.25*(x^2)","Socialist,0+(0.2*x)",,,,,,,,
#,WealthTax,Wealth Tax,tax,"-HighIncome, -Wealthy, -Capitalist, Socialist,0.18*(x^2), BrainDrain,0.15*(x^2),4, CorporateExodus;  There is nothing wrong with wealth as such, but inequality in our society is bad enough that we must be seen to do something to ensure those with the highest levels of income bear their share of the costs of maintaining a healthy society. It is entirely reasonable to set a tax rate that takes away the majority of income above extremely high levels, as this money is so much more appreciated by those on lower incomes.",MULTIPLYINCOME,40,5,2,2,TAX,0,0,,1,120,20000,"_HighIncome,0.05+(0.95*x);TaxEvasion,1.0-(0.75*x)",#Effects,"_HighIncome,0-(x*0.75)","Wealthy,0-(0.75*x)","Capitalist,-0.09*(x^2)","Socialist,0.18*(x^2)",,"BrainDrain,0.15*(x^2),4","CorporateExodus,0+(0.2*x),8",,,,,,,
#,RoadBuilding,Road Building,roadbuilding,"-Unemployment, -TrafficCongestion, CarUsage, Rural;  Although environmentalists often argue that more roads just lead to more congestion, not surprisingly this isn't how the motorist who is sat in traffic sees it. Building new roads is a very expensive and very slow process, but some suggest its vital to keep our economy functioning.",,0,60,5,5,TRANSPORT,50,10000,"GDP,0.5+(0.5*x)",4,0,0, ,#Effects,"_DirtRoads,-0.1-(x^0.5),16","Unemployment,-0.05-0.35*(x^0.2)","CarUsage,0+0.8*(x^1),4","Motorist,0+1*(x^0.5)","Farmers,0+0.25*(x^0.5)",,,,,,,,,
#,BicycleSubsidies,Bicycle Subsidies,default,"LowIncome, Health, -CarUsage, -RailUsage, -BusUsage;  To encourage people to switch from car to bike, a financial motivation is sometimes needed. By introducing bicycle subsidies, it will now be easier and cheaper for people to buy bikes. And this will result in more people actually using a bike instead of driving a car or staying inside, boosting the health of all citizens by a little.",,5,2,0,0,TRANSPORT,30,220,,1,0,0,,#Effects,"_LowIncome,0.03+(0.02*x)","Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8",,,,,,,,,
#,BiofuelSubsidies,Biofuel Subsidies,default,"-OilDemand, Environmentalist, Rural, Motorist, Rural_freq, Rural_income;  Biofuels can reduce oil demand, by mixing ethanol derived from corn with petro-chemical fuel. This is generally popular with environmentalists. Rural who earn money producing corn for biofuel use also benefit. Biofuels with a higher mix of ethanol can be subsidized through tax breaks.",,5,2,0,0,TRANSPORT,5,700,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"OilDemand,0-(0.12*x),8","Farmers_income,0+(0.05*x)","Farmers,0.05+(0.05*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.03*x),4",,,,,,,,,
#,CarPoolingCampaign,Car-Pooling Campaign,default,"-CarUsage;  It often takes some encouragement for people to come together and make better use of the resources at hand. Car-pooling is a good example of that, so this campaign will make people realize how fun and helpful it can be to car-pool, all the while reducing traffic congestion. And if you still end up in a traffic jam, you at least have people to talk to while waiting.",,5,2,0,0,TRANSPORT,20,60,,1,0,0,,#Effects,"CarUsage,-0.02-(0.02*x),8",,,,,,,,,,,,,
#,CyclingCampaign,Cycling Campaign,default,"Health, -CarUsage, -RailUsage, -BusUsage;  This campaign highlights the many advantages that bikes have in our cities. Whether it is to get through heavy traffic with ease, save money for fuel or to help prevent unneccessary pollution, the bike offers many things for many different people, they just don't know it yet.",,5,2,0,0,TRANSPORT,25,80,,1,0,0,,#Effects,"Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8",,,,,,,,,,
#,TollRoads,Toll Roads,tollroads,"-CarUsage, -LowIncome, -MiddleIncome, HighIncome,0.05*(CarUsage*x), -Motorist, Capitalist,0.5*(CarUsage*x);  Toll roads charge motorists to use specific roads (normally major highways). This is a great example of directly applying market forces, by only charging those who use a particular route for the construction and maintenance of that route. Motorists tend to see this as just another form of taxation, whereas commuters appreciate not being charged for roads they seldom use.",,5,2,1,1,TRANSPORT,0,0,,11,11.5,140.3,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,-0.05-(0.05*x),4","_LowIncome,-0.1*(CarUsage*x)","_MiddleIncome,-0.2*(CarUsage*x)","_HighIncome,0.05*(CarUsage*x)","Motorist,0-(0.25*x)","Capitalist,0.5*(CarUsage*x)",,,,,,,,
#,SchoolBuses,Subsidized School Buses,default,"Education, BusUsage, Equality, Parents, Rural;  State subsidies for school buses ensure that every school kid has an efficient, and safe journey to school, whilst reducing the number of short 'school-run' trips carried out by parents, thus reducing traffic on the roads. Parents are also happier knowing that there are proper approved school buses.",,10,2,1,1,TRANSPORT,250,520,,1,0,0,,#Effects,"Education,0.05+(0.05*x)","BusUsage,0.1+(0.1*x),2","Equality,0.05+(0.05*x)","Parents,0.05+(0.05*x)","Farmers,0.05+(0.05*x)",,,,,,,,,
#,TelecommutingInitiative,Telecommuting Initiative,default,"-CarUsage, -Commuter_freq, Commuter, Rural, Parents;  Telecommuting, or 'working from home' is seen as desirable because it reduces the pressure on the transport infrastructure, and can be an improvement to people's quality of life. This policy offers tax incentives to companies supporting this option.",,10,2,1,1,TRANSPORT,110,900,"GDP,0.4+(0.6*x)",1,0,0,,#Effects,"CarUsage,-0.05-(0.05*x),4","Commuter_freq,0-(0.15*x),4","Commuter,0.05+(0.05*x)","Farmers,0.1+(0.1*x)","Parents,0.02+(0.03*x)",,,,,,,,,
#,BusLanes,Bus Lanes,default,"Commuter, -Motorist, BusUsage;  Setting aside specific lanes of a road for use only by buses (and perhaps taxis and motorbikes) is one way to get traffic flowing faster and avoid congestion. It also shortens journey times for public transport and therefore encourages usage. There are noticeable costs involved in setting up such schemes, and motorists can be annoyed if the bus lanes seem empty while they remain stuck in traffic.",,15,5,1,1,TRANSPORT,100,220,,1,0,0,,#Effects,"BusUsage,0.1+(0.1*x),2","Motorist,0.00-(0.5*x)","Commuter,0.05*(BusUsage*x)",,,,,,,,,,,
#,CarEmmissionsLimits,Car Emission Limits,default,"Environment,0.23*(CarUsage*x),16, CO2-Emissions, Environmentalist, -Capitalist;  Setting legal limits on exhaust fumes helps to reduce air pollution, especially in cities, but it's unpopular with motorists who look upon it as yet more bureaucracy and tax.",,15,2,1,1,TRANSPORT,0,80,,5,0,0,,#Effects,"Environment,0.23*(CarUsage*x),16","CO2Emissions,-0.1*(CarUsage*x),16","Environmentalist,0.2*(CarUsage*x)","Capitalist,0-(0.1*x)",,,,,,,,,,
#,FuelEfficiency,Fuel Efficiency Standards,default,"-OilDemand, Motorist_income, CarUsage, Environmentalist, -Capitalist, CO2-Emissions;  Mandatory standards for new cars which dictate the minimum level of fuel efficiency. This is a long term measure aimed to raise the fuel efficiency of the country's cars, and thus reduce our dependence on oil, as well as reducing the cost of driving over the long term. It will be unpopular with car manufacturers, but a hit with environmentalists.",,15,2,1,1,TRANSPORT,20,22,,1,0,0,,#Effects,"OilDemand,-0.04-(0.10*x),24","Motorist_income,0.02+(0.08*x),24","CarUsage,0.02+(0.06*x),24","Environmentalist,0.05+(0.05*x)","Capitalist,0-(0.1*x)","CO2Emissions,0-(0.1*x),8",,,,,,,,
#,HybridCarsInitiative,Hybrid Cars Initiative,default,"-OilDemand, Environment,0.15*(CarUsage*x),8, CarUsage, HighIncome, Environmentalist, Motorist;  Hybrid cars are less damaging to the environment, because at slower speeds they use electric engines that produce no CO2. They also get higher fuel efficiency, thus reducing demand for oil. The downside is they are very expensive, but tax incentives can encourage more people to buy hybrid models when they get new cars.",,15,2,1,1,TRANSPORT,5,200,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"OilDemand,-0.15*(CarUsage*x),4","Environment,0.15*(CarUsage*x),8","CarUsage,0+(0.03*x),4","_HighIncome,0+(0.02*x)","Environmentalist,0.2*(CarUsage*x)","Motorist,0.02+(0.02*x)",,,,,,,,
#,BusSubsidies,Bus Subsidies,default,"BusUsage, LowIncome,0.2*(BusUsage*x), MiddleIncome,0.1*(BusUsage*x), -PovertyRate, Commuter_freq, Retired, Commuter;  Traffic congestion and pollution can be reduced by encouraging people to travel by bus instead of car. It can be an expensive option though, and some motorists may resent a transport system they do not use being subsidized.",,20,5,1,1,TRANSPORT,200,4000,"BusUsage,0.05+(0.95*x)",1,0,0,,#Effects,"BusUsage,0.3+(0.1*x),2","_LowIncome,0.2*(BusUsage*x)","_MiddleIncome,0.1*(BusUsage*x)","PovertyRate,-0.2*(BusUsage*x)","Commuter_freq,0.15+(0.05*x),4","Commuter,0.1*(BusUsage*x)",,,,,,,,
#,CleanFuelSubsidy,Clean Fuel Subsidy,default,"Environment, Environmentalist, Motorist, Motorist_income, Rural;  A Subsidy for cleaner fuels such as Ultra-Low Sulfur fuel in an effort to reduce the environmental impact of motoring. The subsidy will reduce the costs of fitting catalytic converters to older cars, and provide an incentive at the  pump to choose less damaging fuels.",,20,5,2,2,TRANSPORT,120,320,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"Environment,0.00+(0.07*x),8","Environmentalist,0.05+(0.05*x)","Motorist,0.1+(0.1*x)","Motorist_income,0.02+(0.08*x)","Farmers,0.05+(0.05*x)",,,,,,,,,
#,Newcarsubsidies,New Car Subsidies,default,"-OilDemand, CO2-Emissions, CarUsage, GDP,0.05*(CarUsage*x),2, -Environment, AsthmaEpidemic,0.05*(CarUsage*x),4, Motorist;  New cars are expensive but also cause less strain on the environment, while old and used cars may be cheaper but also cause more pollution. Using new car subsidies will help people buy new cars that are safer and protect the environment while making motorists happy. New car smell for everyone!",,20,5,2,2,TRANSPORT,60,800,,1,0,0,,#Effects,"OilDemand,-0.05*(CarUsage*x),4","CO2Emissions,-0.05*(CarUsage*x),4","CarUsage,0+(x*0.05),4","GDP,0.05*(CarUsage*x),2","Environment,-0.05*(CarUsage*x)","AsthmaEpidemic,0.05*(CarUsage*x),4","Motorist,0.05+(x*0.13)",,,,,,,
#,RailSubsidies,Rail Subsidies,default,"RailUsage, LowIncome, MiddleIncome, -Unemployment, Commuter_income, Commuter_freq, Commuter, Rural, Rural_freq;  Travelling by rail is not only more environmentally sound than car travel, its much more efficient in terms of transport times and congestion. Of course that requires adequate investment over the very long term, and in the meantime, motorists take offence at subsidizing a system they do not use. It can take several years for the effects of rail investment to take effect.",,20,5,2,2,TRANSPORT,240,4800,"RailUsage,0.05+(0.95*x)",12,0,0,,#Effects,"RailUsage,0.15+(0.05*x),8","PovertyRate,-0.1*(RailUsage*x)","_LowIncome,0.1*(RailUsage*x)","_MiddleIncome,0.05*(RailUsage*x)","Commuter_freq,0.15+(0.05*x),4","Commuter,0.1*(RailUsage*x)",,,,,,,,
#,DriverlessCarLaws,Driverless Car Laws,driverless,"IndustrialAutomation, Technology, -TrafficAccidents, CarUsage, -TrafficCongestion, Motorist, Commuter, Commuter_freq;  Driverless car technology is booming. The manufacturers are encouraging the government to allow their use on public roads.",,25,2,1,1,TRANSPORT,10,200,"GDP,0.25+(0.25*x);CarUsage,0+(0.5*x)",1,0,0,,#Effects,"IndustrialAutomation,0.1+(0.1*x),12","Technology,0.02+(0.03*x),12","TrafficAccidents,0-(1*x),8","CarUsage,0+(0.2*x),4","TrafficCongestion,0-(0.5*x),16","Motorist,0.05+(0.05*x)","Commuter,0+(0*x)","Commuter_freq,0+(0*x),8",,,,,,
#,ElectricCarsInitiative,Electric Cars Initiative,electriccars,"-OilDemand, Motorist, CO2-Emissions, Environment;  The introduction of a standardized nation-wide recharging system for electric cars has lead to increased sales of such vehicles. Encouraging the acquisition of electric cars reduces our countries dependence on oil. Environmentalists are happy about every car that does not emit carbon dioxide.",,25,5,1,1,TRANSPORT,1000,3000,"_default_,0.2;CarUsage,0+(0.8*x)",8,0,0,,#Effects,"OilDemand,-0.04-(0.2*x)*CarUsage,12","Motorist,0.01+(0.03*x)","CO2Emissions,0-(0.5*x)*CarUsage,4","Environment,0.03+(0.14*x)*CarUsage,16",,,,,,,,,,
#,Monorail,High-Speed Rail,default,"-CarUsage, -Unemployment, Commuter, Rural, Rural_freq;  High-speed rail is a type of rail transport that operates significantly faster than traditional rail traffic, using an integrated system of specialized rolling stock and dedicated tracks. New lines in excess of 160 miles per hour (250 kph) are widely considered to be high-speed. The first such system began operations in Japan in 1964, and was widely known as the bullet train.",,25,5,2,2,TRANSPORT,250,2500,"_default_,0.2;RailUsage,0+(0.8*x)",16,0,0,,#Effects,"RailUsage,0.05+(0.05*x),8","Unemployment,0-(0.1*x)","Commuter_freq,0+(0.05*x),4","Commuter,0.05*(RailUsage*x)","Farmers_freq,0+(0.1*x)","Farmers,0+(0.2*x)",,,,,,,,
#,RapidTransit,Rapid Transit,default,"RailUsage, LowIncome, MiddleIncome, -Unemployment, Commuter_freq, Commuter, -Rural, -Rural_freq;  Rapid transit, also known as heavy rail, metro, subway, tube, or underground, is a type of high-capacity public transport generally found in urban areas. Unlike buses or trams, rapid transit systems are electric railways that operate on an exclusive right-of-way, which cannot be accessed by pedestrians or other vehicles of any sort, and which is often grade separated in tunnels or on elevated railways.",,25,5,2,2,TRANSPORT,250,2500,"_default_,0.2;RailUsage,0+(0.8*x)",12,0,0,,#Effects,"RailUsage,0.2+(0.2*x),8","Unemployment,0-(0.05*x)","Commuter_freq,0+(0.1*x),4","Commuter,0.1*(RailUsage*x)","Farmers_freq,0-(0.1*x)",,,,,,,,,
#,Banlowmpgcars,Ban Low MPG Cars,ban,"-CarUsage, Environment,0.25*(CarUsage*x),8, -OilDemand, CO2-Emissions, -Motorist, Environmentalist;  With gas prices climbing constantly and nature being polluted from all sides, banning cars that use too much fuel may be the right step to protect the environment and help with excessive fuel usage. A big street cruiser might look cool, but it's way too expensive and wasteful and should be banned from the streets. What is good for the enviornment is good for society.",,30,10,2,2,TRANSPORT,4,8,,1,0,0,,#Effects,"CarUsage,-0.05-(0.1*x),4","Environment,0.25*(CarUsage*x),8","OilDemand,-0.1*(CarUsage*x),8","CO2Emissions,-0.2*(CarUsage*x),8","Motorist,-0.05-0.14*(x^2)","Environmentalist,0.3*(CarUsage*x)",,,,,,,,
#,Limitorbancarsincities,Ban Cars In Cities,cityban,"-CarUsage, -Motorist, -Motorist_freq, Environmentalist;  Cars are a major factor in air pollution, especially in big cities. Adding a congestion charge or outright banning them from cities will help greatly in fighting air pollution in cities and will increase the use of public transportation. It might look a little extreme to ban cars altogether but it's still better than to breathe in all that poison.",,45,10,2,2,TRANSPORT,12,26,,1,0,0,,#Effects,"CarUsage,-0.05-(x^2)*0.31,9","Motorist,-0.1-(x^2)*0.25","Motorist_freq,-0.04-(x^2)*0.22,8","Environmentalist,0.3*(CarUsage*x)",,,,,,,,,,
#,FreeEyeTests,Free Eye Tests,default,"Health, LowIncome, -PovertyRate;  Eye tests catch problems early and advise those with poor eyesight that they need glasses. Getting your eyes tested privately can be expensive, and it's a luxury many people just do without. Socialists believe that the universal provision of free eye tests are essential in providing a health 'safety net' for all.",,5,2,0,0,WELFARE,50,100,,1,0,0,,#Effects,"Health,0.02+(0.01*x),16","_LowIncome,0.02+(0.02*x)","PovertyRate,-0.02-(0.02*x),4",,,,,,,,,,,
#,HealthyEatingCampaign,Healthy Eating Campaign,default,"Health, -Obesity;  Through cooking shows, advertisements and specials in newspapers and other media, people are encouraged to be aware of what they eat, what the results of unhealthy food are and how to cook a good meal. This raises the overall health of the people while reducing obesity.",,5,2,0,0,WELFARE,30,90,,1,0,0,,#Effects,"Health,0.03+(0.02*x)","Obesity,0.00-(0.04*x)",,,,,,,,,,,,
#,KeepTheCountryTidyCampaign,Keep The Country Tidy Campaign,default,"Environment, Environmentalist, Environmentalist_freq;  A campaign in popular media, designed to make people feel guilty about littering. No matter how much a fine on littering may be, this only works if people are being seen. But a guilty conscience will also work when someone is alone, thus making it far more effective in the long run.",,5,2,0,0,WELFARE,30,90,,1,0,0,,#Effects,"Environment,0.02+(0.01*x),8","Environmentalist,0.02+(0.03*x)","Environmentalist_freq,0.06+(0.04*x),16",,,,,,,,,,,
#,CompulsorySchoolSports,School Sports,default,"Health, -Obesity;  By going beyond the physical education once in a week in schools, this program will introduce fully fledged sports classes. Pupils will be encouraged to pick a field they like and train for it, later competing in school tournaments on a local, regional and even national and international level, if they are good enough. This will increase the health of our children.",,5,2,0,0,WELFARE,25,100,,4,0,0,,#Effects,"Health,0.03+(0.02*x),16","Obesity,0-(0.05*x),16",,,,,,,,,,,,
#,SmartMeterProgram,Smart Meter Program,default,"EnergyEfficiency, Environmentalist;  Energy Efficiency. By installing Smart Meters into their homes, people can save money and the environment at the same time, as it will increase the effeciency of energy used. It will take a while to convince everyone of this and it won't cause miracles, but it will save a lot of energy in the long run and help save nature for our children.",,5,2,0,0,WELFARE,20,240,,8,0,0,,#Effects,"EnergyEfficiency,0+(0.07*x),4","Environmentalist,0.02+(0.03*x)",,,,,,,,,,,,
#,DisabilityBenefit,Disability Benefit,default,"-PovertyRate, Equality, Retired;  A direct payment from the state to disabled people to allow for the fact that they are possibly unable, or need assistance to work. Additionally many disabled people have special requirements in terms of transport or housing.",,10,2,1,1,WELFARE,50,420,,1,0,0,,#Effects,"_Lifespan,0.05+(0.05*x),16","_LowIncome,0.02+(0.02*x)","PovertyRate,-0.02-(0.02*x)","Equality,0.02+(0.03*x),3","Retired,0.1+(0.1*x)",,,,,,,,,
#,DrugAwareness,Drug Awareness Campaign,default,"-AlcoholUse, -CannabisUse, -TobaccoUse;  Drugs can be dangerous, even in moderation. To raise awareness of that, this campaign will show all the trouble that drugs can get you into, from ruined friendships and addiction to sickness and death. Certainly not a happy topic, but it is always better to have your mood dampened a little now than to suffer big time later.",,10,2,1,1,WELFARE,25,80,,1,0,0,,#Effects,"AlcoholUse,0-(0.1*x),4","CannabisUse,0-(0.05*x),4","TobaccoUse,0-(0.2*x),4",,,,,,,,,,,
#,FoodStandards,Food Standards Agency,default,"Health, Liberal, -Obesity;  A food standards agency is a branch of government dedicated to ensuring the safety and minimum nutritional standards of food supplied within the country. Rural may regard the agency as an extra layer of bureaucracy and meddling, but public health campaigners see the agency as an essential line of defense between the consumer and unscrupulous food producers looking to cut costs.",,10,2,1,1,WELFARE,22,65,,4,0,0,,#Effects,"Health,0.03+(0.02*x),12","Liberal,0.03+(0.02*x)","Obesity,0-(0.05*x),4",,,,,,,,,,,
#,HealthCredit,Health Tax Credits,default,"PrivateHealth, -PovertyRate, LowIncome,0.1*(PrivateHealth*x), MiddleIncome,0.05*(PrivateHealth*x), Poor,0.2*(PrivateHealth*x), MiddleClass,0.1*(PrivateHealth*x), -Socialist, Capitalism;  A system of tax-reductions and credits designed to encourage people to spend their money on private healthcare, in order to reduce their tax liability. This boosts healthcare without involving the state running hospitals or employing doctors, but it's effect is limited to those people in society earning enough to be paying tax in the first place.",,10,2,1,1,WELFARE,600,6000,"_default_,0.7;Environment,0-(0.2*x);TobaccoUse,0+(0.1*x);Alcoholism,0+(0.1*x);DrugAddiction,0+(0.1*x)",1,0,0,,#Effects,"PrivateHealth,0.1+(0.1*x),2","PovertyRate,-0.1*(PrivateHealth*x)","_LowIncome,0.1*(PrivateHealth*x)","_MiddleIncome,0.05*(PrivateHealth*x)","Poor,0.2*(PrivateHealth*x)","MiddleIncome,0.1*(PrivateHealth*x)","Socialist,-0.01-(0.09*x)","_global_socialism,-0.05-(0.05*x),20",,,,,,
#,JunkFoodTax,Junk Food Tax,junkfood,"Health, -Young, -LowIncome, PovertyRate;  A punitive tax rate charged on unhealthy food such as takeaway hamburgers, fizzy drinks and high sugar or fat content pre-processed food. Levied with the aim of improving the health of the nation, but can be unpopular.",,10,5,1,1,WELFARE,4,5,,1,23,102,,#Effects,"Health,0.03+(0.06*x),8","Young,-0.02-(0.04*x)","_LowIncome,-0.02-(0.03*x)","PovertyRate,0.02+(0.02*x)",,,,,,,,,,
